position,rank,name,lastName,uri,imageUri,worth,worthChange,age,source,industry,gender,country,title,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,government,squareImage
1,1,Jeff Bezos,Bezos,jeff-bezos,jeff-bezos,112000.0,616.928,54,Amazon,Technology,M,United States,CEO and Founder, Amazon.com,1529367001647,WA,Washington,141946.517,1,1,False,//specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
2,2,Bill Gates,Gates,bill-gates,bill-gates,90000.0,-195.01,62,Microsoft,Technology,M,United States,Cofounder, Bill & Melinda Gates Foundation,1529367001647,WA,Washington,92938.775,2,2,False,//specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
3,3,Warren Buffett,Buffett,warren-buffett,warren-buffett,84000.0,-6.793,87,Berkshire Hathaway,Finance and Investments,M,United States,CEO, Berkshire Hathaway,1529367001647,NE,Nebraska,82173.432,3,3,False,//specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
4,4,Bernard Arnault,Arnault,bernard-arnault,bernard-arnault,72000.0,-1299.136,69,LVMH,Fashion & Retail,M,France,Chairman and CEO, LVMH Moet Hennessy Louis Vuitton,1529367001647,80799.891,4,4,False,//specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
5,5,Mark Zuckerberg,Zuckerberg,mark-zuckerberg,mark-zuckerberg,71000.0,921.214,34,Facebook,Technology,M,United States,Cofounder, Chairman and CEO, Facebook,1529367001647,CA,California,75621.334,5,5,False,//specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
6,6,Amancio Ortega,Ortega,amancio-ortega,amancio-ortega,70000.0,-729.926,82,Zara,Fashion & Retail,M,Spain,1529367001647,73943.215,6,6,//specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
7,7,Carlos Slim Helu,Slim Helu,carlos-slim-helu,carlos-slim-helu,67100.0,-498.352,78,telecom,Telecom,M,Mexico,Honorary Chairman, América Móvil,1529367001647,60108.495,7,7,False,//specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
8,8,Charles Koch,Koch,charles-koch,charles-koch,60000.0,0.0,82,Koch Industries,Diversified,M,United States,CEO, Koch Industries,1529367001647,KS,Kansas,51619.95,12,12,False,//specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
9,8,David Koch,Koch,david-koch,david-koch,60000.0,0.0,78,Koch Industries,Diversified,M,United States,Executive Vice President, Koch Industries,1529367001647,NY,New York,51619.95,12,13,False,//specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
10,10,Larry Ellison,Ellison,larry-ellison,larry-ellison,58500.0,257.581,73,software,Technology,M,United States,CTO and Founder, Oracle,1529367001647,CA,California,57146.696,8,8,False,//specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
11,11,Michael Bloomberg,Bloomberg,michael-bloomberg,michael-bloomberg,50000.0,0.0,76,Bloomberg LP,Media & Entertainment,M,United States,CEO, Bloomberg,1529367001647,NY,New York,52221.658,11,11,False,//specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
12,12,Larry Page,Page,larry-page,larry-page,48800.0,908.649,45,Google,Technology,M,United States,CEO, Alphabet,1529367001647,CA,California,54243.367,9,9,False,//specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
13,13,Sergey Brin,Brin,sergey-brin,sergey-brin,47500.0,879.16,44,Google,Technology,M,United States,President, Alphabet,1529367001647,CA,California,52725.709,10,10,False,//specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
14,14,Jim Walton,Walton,jim-walton,jim-walton,46400.0,-273.103,70,Walmart,Fashion & Retail,M,United States,Chairman and CEO, Arvest Bank Group, Inc.,1529367001647,AR,Arkansas,40144.201,19,19,False,//specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
15,15,S. Robson Walton,Walton,s-robson-walton,s-robson-walton,46200.0,-268.943,73,Walmart,Fashion & Retail,M,United States,Director, Wal-Mart Stores,1529367001647,AR,Arkansas,39911.111,21,21,False,//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
16,16,Alice Walton,Walton,alice-walton,alice-walton,46000.0,-271.309,68,Walmart,Fashion & Retail,F,United States,Chairman, Crystal Bridges Museum of American Art,1529367001647,TX,Texas,39836.472,22,22,False,//specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
17,17,Ma Huateng,Ma,ma-huateng,ma-huateng,45300.0,0.001,46,internet media,Technology,M,China,Chairman and CEO, Tencent Holdings,1529367001647,45404.014,15,15,False,//specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
18,18,Francoise Bettencourt Meyers,Bettencourt Meyers,francoise-bettencourt-meyers,no-pic-female,42200.0,-755.07,64,L'Oreal,Fashion & Retail,F,France,1529367001647,47912.772,14,14,//specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
19,19,Mukesh Ambani,Ambani,mukesh-ambani,mukesh-ambani,40100.0,44.391,61,petrochemicals, oil & gas,Energy,M,India,Founder and Chairman, Reliance Industries,1529367001647,42511.609,18,18,False,//specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
20,20,Jack Ma,Ma,jack-ma,jack-ma,39000.0,76.535,53,e-commerce,Technology,M,China,Founder and Executive Chairman, Alibaba Group,1529367001647,43188.706,17,17,False,//specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
21,21,Sheldon Adelson,Adelson,sheldon-adelson,sheldon-adelson,38500.0,388.964,84,casinos,Gambling & Casinos,M,United States,Chairman and CEO, Las Vegas Sands,1529367001647,NV,Nevada,44184.431,16,16,False,//specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362
22,22,Steve Ballmer,Ballmer,steve-ballmer,steve-ballmer,38400.0,220.42,62,Microsoft,Technology,M,United States,Owner, Los Angeles Clippers,1529367001647,WA,Washington,39926.071,20,20,False,//specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617
23,23,Li Ka-shing,Li,li-ka-shing,li-ka-shing,34900.0,4.467,90,diversified,Diversified,M,Hong Kong,Chairman, CK Hutchison Holdings,1529367001647,33747.402,24,24,False,//specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661
24,24,Hui Ka Yan,Hui,hui-ka-yan,hui-ka-yan,30300.0,0.0,59,real estate,Real Estate,M,China,Chairman, China Evergrande Group,1529367001647,32108.064,26,26,False,//specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756
25,24,Lee Shau Kee,Lee,lee-shau-kee,lee-shau-kee,30300.0,0.0,90,real estate,Real Estate,M,Hong Kong,1529367001647,30043.331,27,27,//specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082
26,26,Wang Jianlin,Wang,wang-jianlin,wang-jianlin,30000.0,30.33,63,real estate,Real Estate,M,China,Chairman, Dalian Wanda Group,1529367001647,29793.095,28,28,False,//specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280
27,27,Beate Heister & Karl Albrecht Jr.,Albrecht Jr.,beate-heister-karl-albrecht-jr,no-pic,29800.0,0.0,66,supermarkets,Fashion & Retail,Germany,1529367001647,28129.692,29,29,//specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340
28,28,Phil Knight,Knight,phil-knight,phil-knight,29600.0,-78.612,80,Nike,Fashion & Retail,M,United States,Chairman, Nike,1529367001647,OR,Oregon,33155.415,25,25,False,//specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972
29,29,Jorge Paulo Lemann,Lemann,jorge-paulo-lemann,jorge-paulo-lemann,27400.0,-1051.671,78,beer,Food and Beverage,M,Brazil,1529367001647,25307.25,33,33,//specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667
30,30,Francois Pinault,Pinault,francois-pinault,francois-pinault,27000.0,-191.843,81,luxury goods,Fashion & Retail,M,France,1529367001647,34332.777,23,23,//specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866
31,31,Georg Schaeffler,Schaeffler,georg-schaeffler,georg-schaeffler,25300.0,-97.869,53,auto parts,Automotive,M,Germany,1529367001647,24161.389,35,35,//specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042
32,32,Susanne Klatten,Klatten,susanne-klatten,susanne-klatten,25000.0,-156.33,56,BMW, pharmaceuticals,Automotive,F,Germany,1529367001647,23528.441,38,38,//specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236
33,32,David Thomson,Thomson,david-thomson,david-thomson,25000.0,-57.551,61,media,Media & Entertainment,M,Canada,Chairman, Thomson Reuters,1529367001647,25601.193,31,31,False,//specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972
34,34,Jacqueline Mars,Mars,jacqueline-mars,jacqueline-mars,23600.0,0.0,78,candy, pet food,Food and Beverage,F,United States,1529367001647,VA,Virginia,24017.406,36,36,//specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
35,34,John Mars,Mars,john-mars,no-pic,23600.0,0.0,82,candy, pet food,Food and Beverage,M,United States,1529367001647,WY,Wyoming,24017.406,36,37
36,36,Joseph Safra,Safra,joseph-safra,joseph-safra,23500.0,0.0,79,banking,Finance and Investments,M,Brazil,1529367001647,19230.385,53,53,http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
37,37,Giovanni Ferrero,Ferrero,giovanni-ferrero,no-pic,23000.0,0.0,53,Nutella, chocolates,Food and Beverage,M,Italy,1529367001647,21060.641,45,45
38,37,Dietrich Mateschitz,Mateschitz,dietrich-mateschitz,dietrich-mateschitz,23000.0,0.0,74,Red Bull,Food and Beverage,M,Austria,1529367001647,25337.912,32,32,//specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832
39,39,Michael Dell,Dell,michael-dell,michael-dell,22700.0,2.736,53,Dell computers,Technology,M,United States,Chairman and CEO, Dell,1529367001647,TX,Texas,24197.614,34,34,False,//specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907
40,39,Masayoshi Son,Son,masayoshi-son,masayoshi-son,22700.0,-80.888,60,internet, telecom,Telecom,M,Japan,CEO, Softbank,1529367001647,21207.777,43,43,False,//specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334
41,41,Serge Dassault,Dassault,serge-dassault,serge-dassault,22600.0,93,diversified,Diversified,M,France,1527576227202,//specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816
42,42,Stefan Quandt,Quandt,stefan-quandt,stefan-quandt,22000.0,-184.25,52,BMW,Automotive,M,Germany,1529367001647,20569.033,47,47,//specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743
43,43,Yang Huiyan,Yang,yang-huiyan,yang-huiyan,21900.0,-2.4,36,real estate,Real Estate,F,China,Country Garden Holdings,1529367001647,26620.095,30,30,False,//specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
44,44,Paul Allen,Allen,paul-allen,paul-allen,21700.0,-3.446,65,Microsoft, investments,Technology,M,United States,1529367001647,WA,Washington,20027.589,51,51,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601
45,45,Leonardo Del Vecchio,Del Vecchio,leonardo-del-vecchio,leonardo-del-vecchio,21200.0,-345.124,83,eyeglasses,Fashion & Retail,M,Italy,1529367001647,22422.245,41,41,//specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
46,46,Dieter Schwarz,Schwarz,dieter-schwarz,no-pic,20900.0,0.0,78,retail,Fashion & Retail,M,Germany,1529367001647,16077.211,78,78
47,47,Thomas Peterffy,Peterffy,thomas-peterffy,thomas-peterffy,20300.0,-292.061,73,discount brokerage,Finance and Investments,M,United States,1529367001647,FL,Florida,22470.988,40,40,//specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839
48,48,Theo Albrecht, Jr.,Albrecht,theo-albrecht-jr,no-pic,20200.0,0.0,67,Aldi, Trader Joe's,Fashion & Retail,M,Germany,1529367001647,19153.127,54,54
49,48,Len Blavatnik,Blavatnik,len-blavatnik,len-blavatnik,20200.0,-26.052,61,diversified,Diversified,M,United States,1529367001647,20792.192,46,46,//specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299
50,50,He Xiangjian,He,he-xiangjian,he-xiangjian,20100.0,0.0,75,home appliances,Manufacturing,M,China,Founder, Midea Group Co. Ltd.,1529367001647,21127.374,44,44,False,//specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404
51,50,Lui Che Woo,Lui,lui-che-woo,lui-che-woo,20100.0,0.0,89,casinos,Gambling & Casinos,M,Hong Kong,1529367001647,20422.247,49,49,//specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168
52,52,James Simons,Simons,james-simons,james-simons,20000.0,0.0,80,hedge funds,Finance and Investments,M,United States,Founder, Renaissance Technologies Corp.,1529367001647,1800.0,NY,New York,19985.0,52,52,False,//specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190
