Rank, Name, Company, Worth
164, Gianluigi & Rafaela Aponte, None, 9300.0
164, Herbert Kohler, Jr., None, 9300.0
164, Viktor Rashnikov, None, 9300.0
167, Harry Triguboff, None, 9200.0
167, August von Finck, None, 9200.0
167, Yao Zhenhua, None, 9200.0
170, Jan Koum, None, 9100.0
170, Cyrus Poonawalla, None, 9100.0
172, James Goodnight, None, 9000.0
172, Ken Griffin, None, 9000.0
174, Giorgio Armani, None, 8900.0
174, Ernesto Bertarelli, None, 8900.0
176, Savitri Jindal, None, 8800.0
176, Sunil Mittal, None, 8800.0
178, James Chambers, None, 8700.0
178, Katharine Rayner, None, 8700.0
178, Margaretta Taylor, None, 8700.0
181, Terry Gou, None, 8500.0
181, Gordon Moore, None, 8500.0
183, James Irving, None, 8300.0
183, Stanley Kroenke, None, 8300.0
185, Melker Schorling, None, 8200.0
186, Johann Graf, None, 8100.0
186, Guo Guangchang, None, 8100.0
186, John Malone, None, 8100.0
186, Xavier Niel, None, 8100.0
190, Silvio Berlusconi, None, 8000.0
190, Carl Cook, None, 8000.0
190, David Geffen, None, 8000.0
190, Hui Wing Mau, None, 8000.0
190, Walter Kwok, None, 8000.0
190, George Soros, None, 8000.0
196, Edward Johnson, III., None, 7900.0
196, Massimiliana Landini Aleotti, None, 7900.0
198, David Duffield, None, 7800.0
198, George Kaiser, None, 7800.0
198, Patrick Soon-Shiong, None, 7800.0
198, Zhou Qunfei, None, 7800.0
202, Nicky Oppenheimer, None, 7700.0
202, Sun Piaoyang, None, 7700.0
202, Wu Yajun, None, 7700.0
205, Alexei Kuzmichev, None, 7600.0
205, Stephen Ross, None, 7600.0
207, Vincent Bollore, None, 7400.0
207, Pauline MacMillan Keinath, None, 7400.0
207, Jay Y. Lee, None, 7400.0
207, Anders Holch Povlsen, None, 7400.0
211, Eli Broad, None, 7300.0
211, Michael Kadoorie, None, 7300.0
211, Iskander Makhmudov, None, 7300.0
211, Frederik Paulsen, None, 7300.0
211, Sun Hongbin, None, 7300.0
211, Christy Walton, None, 7300.0
217, Shahid Khan, None, 7200.0
217, Ananda Krishnan, None, 7200.0
217, Carrie Perrodo, None, 7200.0
217, Quek Leng Chan, None, 7200.0
217, Wang Wenxue, None, 7200.0
222, John Doerr, None, 7100.0
222, Patrick Drahi, None, 7100.0
222, Eva Gonda de Rivera, None, 7100.0
222, Willi & Isolde Liebherr, None, 7100.0
222, Ricardo Salinas Pliego, None, 7100.0
222, Suh Kyung-Bae, None, 7100.0
228, Pollyanna Chu, None, 7000.0
228, John Fredriksen, None, 7000.0
228, Goh Cheng Liang, None, 7000.0
228, Sri Prakash Lohia, None, 7000.0
228, Lu Zhiqiang, None, 7000.0
228, Jorn Rausing, None, 7000.0
228, Johann Rupert, None, 7000.0
228, Jacques Saade, None, 7000.0
228, Wu Shaoxun, None, 7000.0
237, Leonid Fedun, None, 6900.0
237, Kim Jung-Ju, None, 6900.0
237, Sandra Ortega Mera, None, 6900.0
237, Jim Pattison, None, 6900.0
237, Michael Platt, None, 6900.0
242, Chan Laiwa, None, 6800.0
