Rank, Name, Worth, Source
140, Roman Abramovich, 10800.0, steel, investments
140, Liu Qiangdong, 10800.0, e-commerce
140, Robert & Philip Ng, 10800.0, real estate
143, Alberto Bailleres Gonzalez, 10700.0, mining
143, Uday Kotak, 10700.0, banking
145, Pierre Omidyar, 10500.0, eBay
146, Walter P.J. Droege, 10300.0, consulting
147, Dietmar Hopp, 10200.0, software
148, Graeme Hart, 10100.0, investments
148, Eduardo Saverin, 10100.0, Facebook
148, Yan Zhi, 10100.0, real estate
151, Radhakishan Damani, 10000.0, investments, retail
152, German Khan, 9800.0, oil, banking, telecom
152, Ronald Perelman, 9800.0, leveraged buyouts
154, Gautam Adani, 9700.0, commodities, ports
154, Micky Arison, 9700.0, Carnival Cruises
154, Pan Zhengmin, 9700.0, electronics
154, Joseph Tsai, 9700.0, e-commerce
158, Thomas Frist, Jr., 9600.0, health care
158, Mikhail Prokhorov, 9600.0, investments
160, Galen Weston, 9500.0, retail
160, Zong Qinghou, 9500.0, beverages
162, Eyal Ofer, 9400.0, real estate, shipping
162, Charles Schwab, 9400.0, discount brokerage
164, Gianluigi & Rafaela Aponte, 9300.0, Shipping
164, Herbert Kohler, Jr., 9300.0, plumbing fixtures
164, Viktor Rashnikov, 9300.0, steel
167, Harry Triguboff, 9200.0, real estate
167, August von Finck, 9200.0, investments
167, Yao Zhenhua, 9200.0, conglomerate
170, Jan Koum, 9100.0, WhatsApp
170, Cyrus Poonawalla, 9100.0, vaccines
172, James Goodnight, 9000.0, software
172, Ken Griffin, 9000.0, hedge funds
174, Giorgio Armani, 8900.0, luxury goods
174, Ernesto Bertarelli, 8900.0, biotech, investments
176, Savitri Jindal, 8800.0, steel
176, Sunil Mittal, 8800.0, telecom
178, James Chambers, 8700.0, media
178, Katharine Rayner, 8700.0, media
178, Margaretta Taylor, 8700.0, media
181, Terry Gou, 8500.0, electronics
181, Gordon Moore, 8500.0, Intel
183, James Irving, 8300.0, diversified
183, Stanley Kroenke, 8300.0, sports, real estate
185, Melker Schorling, 8200.0, investments
186, Johann Graf, 8100.0, gambling
186, Guo Guangchang, 8100.0, conglomerate
186, John Malone, 8100.0, cable television
186, Xavier Niel, 8100.0, internet, telecom
190, Silvio Berlusconi, 8000.0, media
190, Carl Cook, 8000.0, medical devices
190, David Geffen, 8000.0, movies, record labels
190, Hui Wing Mau, 8000.0, real estate
190, Walter Kwok, 8000.0, real estate
190, George Soros, 8000.0, hedge funds
196, Edward Johnson, III., 7900.0, money management
196, Massimiliana Landini Aleotti, 7900.0, pharmaceuticals
198, David Duffield, 7800.0, business software
198, George Kaiser, 7800.0, oil & gas, banking
198, Patrick Soon-Shiong, 7800.0, pharmaceuticals
198, Zhou Qunfei, 7800.0, smartphone screens
202, Nicky Oppenheimer, 7700.0, diamonds
202, Sun Piaoyang, 7700.0, pharmaceuticals
202, Wu Yajun, 7700.0, real estate
205, Alexei Kuzmichev, 7600.0, oil, banking, telecom
205, Stephen Ross, 7600.0, real estate
207, Vincent Bollore, 7400.0, investments
207, Pauline MacMillan Keinath, 7400.0, Cargill
207, Jay Y. Lee, 7400.0, Samsung
207, Anders Holch Povlsen, 7400.0, fashion retail
211, Eli Broad, 7300.0, investments
211, Michael Kadoorie, 7300.0, hotels, energy
211, Iskander Makhmudov, 7300.0, mining, metals, machinery
211, Frederik Paulsen, 7300.0, health care
211, Sun Hongbin, 7300.0, real estate
211, Christy Walton, 7300.0, Walmart
217, Shahid Khan, 7200.0, auto parts
217, Ananda Krishnan, 7200.0, telecoms, media, oil-services
217, Carrie Perrodo, 7200.0, oil
217, Quek Leng Chan, 7200.0, banking, property
