Rank, Name, Worth, Source
606, Imogene Powers Johnson, 3700.0, cleaning products
606, S. Curtis Johnson, 3700.0, cleaning products
606, Helen Johnson-Leipold, 3700.0, cleaning products
606, Winifred Johnson-Marquart, 3700.0, cleaning products
606, Viatcheslav Kantor, 3700.0, fertilizer, real estate
606, Samvel Karapetyan, 3700.0, real estate
606, Marc Ladreit de Lacharriere, 3700.0, finance
606, Angela Leong, 3700.0, casinos
606, Li Gaiteng, 3700.0, hair dryers
606, Mangal Prabhat Lodha, 3700.0, real estate
606, Michael Milken, 3700.0, investments
606, Yuri Milner, 3700.0, tech investments
606, Andreas Struengmann, 3700.0, pharmaceuticals
606, Thomas Struengmann, 3700.0, pharmaceuticals
606, Tse Ping, 3700.0, pharmaceuticals
606, Yitzhak Tshuva, 3700.0, real estate
606, Samuel Yin, 3700.0, diversified
629, Michael Ashley, 3600.0, sports retailing
629, Cao Longxiang, 3600.0, pharmaceuticals
629, Jeffery Hildebrand, 3600.0, oil
629, Jiang Rensheng, 3600.0, vaccine production
629, Edward Johnson, IV., 3600.0, money management
629, Elizabeth Johnson, 3600.0, money management
629, Peter Kellogg, 3600.0, investments
629, Lim Sung-Ki, 3600.0, pharmaceuticals
629, Friedhelm Loh, 3600.0, manufacturing
629, Kiran Mazumdar-Shaw, 3600.0, biotech
629, Idan Ofer, 3600.0, drilling, shipping
629, Karsanbhai Patel, 3600.0, consumer goods
629, Qin Yinglin, 3600.0, pig breeding
629, Qiu Guanghe, 3600.0, fashion retail
629, Sarath Ratanavadi, 3600.0, energy
629, Rodger Riney, 3600.0, discount brokerage
629, Steven Spielberg, 3600.0, Movies
629, Gabriele Volkmann, 3600.0, auto parts
629, Arne Wilhelmsen, 3600.0, cruise ships
629, Xu Jingren, 3600.0, pharmaceuticals
629, Zhang Li, 3600.0, real estate
629, Zhang Xin, 3600.0, real estate
629, Anita Zucker, 3600.0, chemicals
652, Carlo Benetton, 3500.0, fashion retail, investments
652, Gilberto Benetton, 3500.0, fashion retail, investments
652, Giuliana Benetton, 3500.0, fashion retail, investments
652, Luciano Benetton, 3500.0, fashion retail, investments
652, Chen Bang, 3500.0, hospitals
652, Kuldip Singh & Gurbachan Singh Dhingra, 3500.0, paints
652, Abilio dos Santos Diniz, 3500.0, retail
652, Bernard Ecclestone, 3500.0, Formula One
652, Judy Faulkner, 3500.0, health IT
652, Gao Tianguo, 3500.0, real estate, finance
652, Joshua Harris, 3500.0, private equity
652, Arthur Irving, 3500.0, oil
652, Baba Kalyani, 3500.0, engineering
652, Dmitry Kamenshchik, 3500.0, airport
652, Douglas Leone, 3500.0, venture capital
652, Edwin Leong, 3500.0, real estate
652, Arnon Milchan, 3500.0, movie making
652, Maren Otto, 3500.0, retail, real estate
652, Anthony Pritzker, 3500.0, hotels, investments
652, Jay Robert (J.B.) Pritzker, 3500.0, hotels, investments
652, Mitchell Rales, 3500.0, manufacturing, investments
652, Kjell Inge Rokke, 3500.0, shipping, seafood
652, Bernard Saul, II., 3500.0, banking, real estate
652, Donald Sterling, 3500.0, real estate
652, Tahir, 3500.0, diversified
652, Chairul Tanjung, 3500.0, diversified
652, Clemens Toennies, 3500.0, meat processing
679, Somphote Ahunai, 3400.0, energy
679, Igor Altushkin, 3400.0, metals
679, Riley Bechtel, 3400.0, engineering, construction
679, Stephen Bechtel, Jr., 3400.0, engineering, construction
679, Mike Cannon-Brookes, 3400.0, software
679, Rafael Del Pino y Calvo-Sotelo, 3400.0, construction
679, Antonio Del Valle Ruiz, 3400.0, chemicals
679, Scott Farquhar, 3400.0, software
679, Lindsay Fox, 3400.0, logistics, real estate
679, Jimmy Haslam, 3400.0, gas stations, retail
679, Heidi Horten, 3400.0, retail
679, Min Kao, 3400.0, navigation equipment
679, Melissa Ma, 3400.0, internet search
679, Rudolf Maag, 3400.0, medical devices
679, Alexander Ponomarenko, 3400.0, real estate, airport
679, Carlos Rodriguez-Pastor, 3400.0, finance
679, Shashi & Ravi Ruia, 3400.0, diversified
679, Teddy Sagi, 3400.0, gambling software
679, Shaul Shani, 3400.0, telecom
679, Alexander Skorobogatko, 3400.0, real estate, airport
679, Sun Guangxin, 3400.0, diversified
679, Rita Tong Liu, 3400.0, real estate
679, Juan-Miguel Villar Mir, 3400.0, construction
679, Steve Wynn, 3400.0, casinos, hotels
703, Anil Agarwal, 3300.0, mining, metals
703, Abdulla Al Futtaim, 3300.0, auto dealers, investments
703, John Arnold, 3300.0, hedge funds
703, Sid Bass, 3300.0, oil, investments
703, Alain Bouchard, 3300.0, retail
703, John Brown, 3300.0, medical equipment
703, Vanich Chaiyawan, 3300.0, insurance, beverages
703, Chen Lip Keong, 3300.0, casinos, property, energy
703, Charles Cohen, 3300.0, real estate
703, Ashwin Dani, 3300.0, paints
703, Rakesh Gangwal, 3300.0, airline
703, Reid Hoffman, 3300.0, LinkedIn
703, Amos Hostetter, Jr., 3300.0, cable television
703, Zarakh Iliev, 3300.0, real estate
703, Ji Qi, 3300.0, hotels, motels
703, Kenneth Langone, 3300.0, investments
703, Li Sze Lim, 3300.0, real estate
703, George Lindemann, 3300.0, investments
703, Liu Zhongtian, 3300.0, aluminum products
703, Luo Liguo, 3300.0, chemicals
703, Mary Alice Dorrance Malone, 3300.0, Campbell Soup
703, Henry Nicholas, III., 3300.0, semiconductors
703, God Nisanov, 3300.0, real estate
703, Pat Stryker, 3300.0, medical equipment
703, Alexander Svetakov, 3300.0, real estate
703, Hans Peter Wild, 3300.0, flavorings
729, Yvonne Bauer, 3200.0, media
729, Patrizio Bertelli, 3200.0, luxury goods
729, Neil Bluhm, 3200.0, real estate
729, Andrew & Peggy Cherng, 3200.0, restaurants
729, Scott Cook, 3200.0, software
729, Leon G. Cooperman, 3200.0, hedge funds
729, John Paul DeJoria, 3200.0, hair products, tequila
729, Martin Ebner, 3200.0, investments
729, Walter Faria, 3200.0, beer
729, Sameer Gehlaut, 3200.0, finance
729, Tom Golisano, 3200.0, payroll services
729, Otto Happel, 3200.0, engineering
729, Jiang Bin, 3200.0, acoustic components
729, Karel Komarek, 3200.0, lotteries
729, Kurt Krieger, 3200.0, furniture retailing
729, Timur Kulibaev, 3200.0, banking
729, Dinara Kulibaeva, 3200.0, banking
729, Spiro Latsis, 3200.0, banking, shipping
729, Daniel Loeb, 3200.0, hedge funds
729, Luo Jye, 3200.0, tires
729, Ronald McAulay, 3200.0, energy
729, Alain Merieux, 3200.0, pharmaceuticals
729, Hans Georg Naeder, 3200.0, prosthetics
729, Nie Tengyun, 3200.0, logistics
729, Daniel Och, 3200.0, hedge funds
729, Miuccia Prada, 3200.0, luxury goods
729, Marc Rowan, 3200.0, private equity
729, Haim Saban, 3200.0, TV network, investments
729, Alvaro Saieh Bendeck, 3200.0, banking
729, Michael & Reiner Schmidt-Ruthenbeck, 3200.0, retail
729, Lynn Schusterman, 3200.0, oil & gas, investments
729, Mark Shoen, 3200.0, U-Haul
729, Michal Solowow, 3200.0, investments
729, Daniel Tsai, 3200.0, finance
729, Richard Tsai, 3200.0, finance
729, Frank Wang, 3200.0, drones
729, Meg Whitman, 3200.0, eBay
766, John Catsimatidis, 3100.0, oil, real estate
766, Do Won & Jin Sook Chang, 3100.0, fashion retail
766, Cheng Cheung Ling, 3100.0, pharmaceuticals
766, Barry Diller, 3100.0, online media
766, Jack Dorsey, 3100.0, Twitter
766, Yakir Gabay, 3100.0, real estate
766, Allan Goldman, 3100.0, real estate
766, Jane Goldman, 3100.0, real estate
766, Amy Goldman Fowler, 3100.0, real estate
766, Daryl Katz, 3100.0, pharmacies
766, Diane Kemper, 3100.0, real estate
766, Vladimir Kim, 3100.0, mining
766, Lai Meisong, 3100.0, package delivery
766, Manuel Lao Hernandez, 3100.0, gambling
766, James Leprino, 3100.0, cheese
766, Liang Xinjun, 3100.0, conglomerate
766, Tom Morris, 3100.0, retail
766, Thi Phuong Thao Nguyen, 3100.0, airlines
766, Rajan Raheja, 3100.0, diversified
766, Ren Jianhua, 3100.0, kitchen appliances
766, Richard Sands, 3100.0, Food & Beverage
766, Kerry Stokes, 3100.0, construction equipment, media
766, Donald Trump, 3100.0, television, real estate
766, Romesh T. Wadhwani, 3100.0, software
766, Wang Jian, 3100.0, healthcare services
791, Clifford Asness, 3000.0, Investment Management
791, Anne Beaufour, 3000.0, pharmaceuticals
791, Henri Beaufour, 3000.0, pharmaceuticals
791, Tom Benson, 3000.0, New Orleans Saints
791, Jim Breyer, 3000.0, venture capital
791, Alejandro Bulgheroni, 3000.0, oil & gas
791, Hasmukh Chudgar, 3000.0, pharmaceuticals
791, Ennio Doris, 3000.0, financial services
791, Luis Frias, 3000.0, mobile payments
791, Valentin Gapontsev, 3000.0, lasers
791, Martin Haefner, 3000.0, software, investments
791, Christopher Hohn, 3000.0, Hedge funds
791, Johnelle Hunt, 3000.0, trucking
791, Rakesh Jhunjhunwala, 3000.0, investments
791, Lu Xiangyang, 3000.0, automobiles, batteries
791, John Middleton, 3000.0, tobacco
791, Kazuo Okada, 3000.0, casinos
791, Jorge Perez, 3000.0, real estate
791, Prasert Prasarttong-Osoth, 3000.0, hospitals
791, Jean (Gigi) Pritzker, 3000.0, hotels, investments
791, Mochtar Riady, 3000.0, diversified
791, Arkady Rotenberg, 3000.0, construction, pipes, banking
791, Michael Rubin, 3000.0, online retail
791, Robert Sands, 3000.0, Food & Beverage
791, Herbert Simon, 3000.0, real estate
791, Robert Toennies, 3000.0, meat processing
791, Manuel Villar, 3000.0, real estate
791, Don Vultaggio, 3000.0, AriZona Beverages
791, Wang Zhenhua, 3000.0, real estate
791, Wu Kaiting, 3000.0, electronics
791, Simon Xie, 3000.0, online payment service
822, Chuck Bundrant, 2900.0, fishing
822, Cai Dongchen, 2900.0, pharmaceuticals
822, Jose and Francisco Jose Calderon Rojas, 2900.0, beverages
822, Jason Chang, 2900.0, electronics
822, Smita Crishna-Godrej, 2900.0, consumer goods
822, Ding Shizhong, 2900.0, sports apparel
822, Feng Hailiang, 2900.0, copper, education
822, Gerald Ford, 2900.0, banking
822, Philippe Foriel-Destezet, 2900.0, employment agency
822, Adi Godrej, 2900.0, consumer goods
822, Jamshyd Godrej, 2900.0, consumer goods
822, Nadir Godrej, 2900.0, consumer goods
822, Joseph Grendys, 2900.0, poultry processing
822, Hedda im Brahm-Droege, 2900.0, consulting
822, Ke Zunhong, 2900.0, pharmaceuticals
822, Randal Kirk, 2900.0, pharmaceuticals
822, Alicia Koplowitz, 2900.0, construction, investments
822, Kwek Leng Beng, 2900.0, real estate
822, Louis Le Duff, 2900.0, bakeries
822, Yusaku Maezawa, 2900.0, online retail
822, Sergio Mantegazza, 2900.0, travel
822, Hans Melchers, 2900.0, chemicals, investments
822, Erwin Franz Mueller, 2900.0, drugstores
822, Rishad Naoroji, 2900.0, consumer goods
822, Husnu Ozyegin, 2900.0, finance, diversified
822, Prajogo Pangestu, 2900.0, petrochemicals
822, Jeff Rothschild, 2900.0, Facebook
822, Thomas Siebel, 2900.0, business software
822, Paul Singer, 2900.0, hedge funds
822, Ralph Sonnenberg, 2900.0, blinds
822, Jon Stryker, 2900.0, medical equipment
822, Georg Stumpf, 2900.0, real estate, construction
822, Tsai Hong-tu, 2900.0, finance
822, Vincent Viola, 2900.0, electronic trading
822, Radovan Vitek, 2900.0, real estate
822, Wang Laichun, 2900.0, electronics components
822, Wang Laisheng, 2900.0, electronics components
859, Carlos Ardila Lülle, 2800.0, soft drinks, diversified
859, William Conway, Jr., 2800.0, private equity
859, Daniel D'Aniello, 2800.0, private equity
859, Jim Davis, 2800.0, staffing & recruiting
859, Ding Shijia, 2800.0, sportswear
859, John Dorrance, III., 2800.0, Campbell Soup
859, Doris Fisher, 2800.0, Gap
859, John Fisher, 2800.0, Gap
859, Caroline Hagen Kjos, 2800.0, conglomerate
859, Kieu Hoang, 2800.0, medical products
859, Huang Shih Tsai, 2800.0, real estate
859, H. Wayne Huizenga, 2800.0, investments
859, Osman Kibar, 2800.0, biotech
859, Aloke Lohia, 2800.0, petrochemicals
859, Taha Mikati, 2800.0, telecom
859, Philip Niarchos, 2800.0, art collection
859, Stefan Olsson, 2800.0, diversified
859, Sebastian Piñera, 2800.0, investments
859, Penny Pritzker, 2800.0, hotels, investments
859, Nicolas Puech, 2800.0, Hermes
859, Chandru Raheja, 2800.0, real estate
859, David Rubenstein, 2800.0, private equity
859, Shi Yuzhu, 2800.0, online games, investments
859, Zygmunt Solorz-Zak, 2800.0, TV broadcasting
859, Tung Chee Chen, 2800.0, shipping
859, Mark Walter, 2800.0, finance
859, William Wrigley, Jr., 2800.0, chewing gum
859, Mortimer Zuckerman, 2800.0, real estate, media
887, Mohed Altrad, 2700.0, scaffolding, cement mixers
887, Anil Ambani, 2700.0, diversified
887, Roberto Angelini Rossi, 2700.0, forestry, mining
887, Saeed Bin Butti Al Qebaisi, 2700.0, hospitals, investments
887, Pierre Chen, 2700.0, art, electronics
887, Ray Davis, 2700.0, pipelines
887, Edward DeBartolo, Jr., 2700.0, shopping centers
887, Bennett Dorrance, 2700.0, Campbell Soup
887, Eduardo Eurnekian, 2700.0, airports, investments
887, Piero Ferrari, 2700.0, automobiles
887, Fiona Geminder, 2700.0, manufacturing
887, Gu Yuhua, 2700.0, furniture
887, Don Hankey, 2700.0, auto loans
887, Reed Hastings, 2700.0, Netflix
887, Huang Wei, 2700.0, real estate
887, James Irsay, 2700.0, Indianapolis Colts
887, Kim Beom-Su, 2700.0, online services
887, Mustafa Kucuk, 2700.0, fashion retail
887, Mohamed Mansour, 2700.0, diversified
887, Najib Mikati, 2700.0, telecom
887, Ermirio Pereira de Moraes, 2700.0, diversified
887, Bob Parsons, 2700.0, web hosting
887, Krit Ratanarak, 2700.0, media, real estate
887, Helena Revoredo, 2700.0, security services
887, Phillip Ruffin, 2700.0, casinos, real estate
887, Howard Schultz, 2700.0, Starbucks
887, E. Joe Shoen, 2700.0, U-Haul
887, Thomas Straumann, 2700.0, dental implants
887, Lawrence Stroll, 2700.0, fashion investments
887, Andrew Tan, 2700.0, diversified
887, Tsai Cheng-da, 2700.0, finance
887, Frank VanderSloot, 2700.0, nutrition and wellness products
887, Sandro Veronesi, 2700.0, fashion
887, Ty Warner, 2700.0, real estate, plush toys
887, Oprah Winfrey, 2700.0, TV shows
887, Zhang Wenzhong, 2700.0, Retail
887, Zuo Hui, 2700.0, real estate services
924, Juan Abello, 2600.0, investments
924, Semahat Sevim Arsel, 2600.0, diversified
924, Bang Jun-Hyuk, 2600.0, online gaming
924, Koos Bekker, 2600.0, media, investments
924, David Bonderman, 2600.0, private equity
924, Francesco Gaetano Caltagirone, 2600.0, cement, diversified
924, John Caudwell, 2600.0, mobile phones
924, Chen Fashu, 2600.0, investments
924, Chung Eui-Sun, 2600.0, logistics
924, Isabel dos Santos, 2600.0, investments
924, Fong Yun Wah, 2600.0, real estate
924, Phillip Frost, 2600.0, pharmaceuticals
924, Lutz Mario Helmig, 2600.0, hospitals
924, B. Wayne Hughes, 2600.0, self storage
924, Daniel Kretinsky, 2600.0, energy generation
924, Raj Kumar & Kishin RK, 2600.0, real estate
924, Lam Kong, 2600.0, pharmaceuticals
924, Lau Cho Kun, 2600.0, palm oil, property
924, Stephen Mandel, Jr., 2600.0, hedge funds
924, Gilles Martin, 2600.0, laboratory services
924, Daniel Mate, 2600.0, mining, commodities
924, Robert Miller, 2600.0, electronics components
924, Jorge Moll Filho, 2600.0, hospitals
924, Maria Helena Moraes Scripilliti, 2600.0, diversified
924, Sean Parker, 2600.0, Facebook
924, Jay Paul, 2600.0, real estate
924, Patrick Ryan, 2600.0, insurance
924, Thomas Secunda, 2600.0, Bloomberg LP
924, Shen Wenrong, 2600.0, steel production
924, Shen Yuxing, 2600.0, real estate
924, Gil Shwed, 2600.0, software
924, Song Zuowen, 2600.0, aluminum, diversified
924, Warren Stephens, 2600.0, investment banking
924, Glen Taylor, 2600.0, printing
924, Hanni Toosbuy Kasprzak, 2600.0, shoes
924, Torbjorn Tornqvist, 2600.0, oil trading
924, Bulat Utemuratov, 2600.0, mining, banking, hotels
924, Chip Wilson, 2600.0, Lululemon
924, Jerry Yang, 2600.0, Yahoo
924, Zhang Fan, 2600.0, touch screens
924, Zhu Xingliang, 2600.0, construction
965, Ramon Ang, 2500.0, Diversified
965, Edward Bass, 2500.0, oil, investments
965, Lee Bass, 2500.0, oil, investments
965, Bert Beveridge, 2500.0, vodka
965, George Bishop, 2500.0, oil & gas
965, Jaime Botin, 2500.0, banking
965, Norman Braman, 2500.0, art, car dealerships
965, Chin Jong Hwa, 2500.0, auto parts
965, Cho Tak Wong, 2500.0, auto parts
965, John Coates, 2500.0, online gambling
965, Du Jiangtao, 2500.0, chemicals
965, Aloysio de Andrade Faria, 2500.0, banking
965, Kenneth Feld, 2500.0, circus, live entertainment
965, Luca Garavoglia, 2500.0, spirits
965, Noam Gottesman, 2500.0, hedge funds
965, Jonathan Gray, 2500.0, investments
965, Stein Erik Hagen, 2500.0, consumer goods
965, Chang-Woo Han, 2500.0, pachinko parlors
965, John Henry, 2500.0, sports
965, Lawrence Ho, 2500.0, casinos
965, Hui Lin Chit, 2500.0, hygiene products
965, Mustafa Rahmi Koc, 2500.0, diversified
965, Kuan Kam Hon, 2500.0, synthetic gloves
965, Jane Lauder, 2500.0, cosmetics
965, Aerin Lauder Zinterhofer, 2500.0, cosmetics
965, Maritsa Lazari, 2500.0, real estate
965, Bernard Lewis, 2500.0, fashion retailer
965, Vincent Lo, 2500.0, real estate
965, Jeffrey Lorberbaum, 2500.0, flooring
965, Joe Mansueto, 2500.0, investment research
965, Jose Roberto Marinho, 2500.0, media
965, Roberto Irineu Marinho, 2500.0, media
965, C. Dean Metropoulos, 2500.0, investments
965, Aristotelis Mistakidis, 2500.0, mining, commodities
965, Arturo Moreno, 2500.0, billboards, Anaheim Angels
965, Yoshiko Mori, 2500.0, real estate
965, Adam Neumann, 2500.0, WeWork
965, Or Wai Sheun, 2500.0, real estate
965, Richard Peery, 2500.0, real estate
965, Horst Julius Pudwill, 2500.0, manufacturing
965, P.V. Ramprasad Reddy, 2500.0, pharmaceuticals
965, Larry Robbins, 2500.0, hedge funds
965, Carlos Sanchez, 2500.0, generic drugs
965, Stephan Schmidheiny, 2500.0, investments
965, Klaus-Peter Schulenberg, 2500.0, ticketing service
965, Charles Simonyi, 2500.0, Microsoft
965, Mark Stevens, 2500.0, venture capital
965, Sze Man Bok, 2500.0, hygiene products
965, Sarik Tara, 2500.0, construction
965, Lottie Tham, 2500.0, H&M
965, Peter Thiel, 2500.0, Facebook, Palantir
965, Elaine Wynn, 2500.0, casinos, hotels
965, Denise York, 2500.0, San Francisco 49ers
965, David Zalik, 2500.0, technology
965, Zhao Tao, 2500.0, pharmaceuticals
1020, George Argyros, 2400.0, real estate, investments
1020, John Arrillaga, 2400.0, real estate
1020, Charles Bronfman, 2400.0, liquor
1020, Peter Buck, 2400.0, Subway sandwich shops
1020, Chen Jinxia, 2400.0, investments
1020, Vivien Chen, 2400.0, real estate
1020, Chu Lam Yiu, 2400.0, flavorings
1020, Jean Coutu, 2400.0, drugstores
1020, Jose Luis Cutrale, 2400.0, orange juice
1020, Jai Hari & Yadu Hari Dalmia, 2400.0, cement
1020, Bergit Douglas, 2400.0, consumer goods
1020, Alfredo Egydio Arruda Villela Filho, 2400.0, banking
1020, Marcel Erni, 2400.0, private equity
1020, Andre Esteves, 2400.0, banking
1020, Carlo Fidani, 2400.0, real estate
1020, Abhay Firodia, 2400.0, automobiles
1020, Alfred Gantner, 2400.0, private equity
1020, Geng Jianming, 2400.0, real estate
1020, Mitchell Goldhar, 2400.0, real estate
1020, Hortensia Herrero, 2400.0, supermarkets
1020, Michael Hintze, 2400.0, investment
1020, Igor Kesaev, 2400.0, tobacco distribution, retail
1020, Koon Poh Keong, 2400.0, aluminum
1020, Hermann Langness, 2400.0, retail
1020, Li Zhongchu, 2400.0, software
1020, Alexander Mamut, 2400.0, investments
1020, Joao Roberto Marinho, 2400.0, media
1020, Drayton McLane, Jr., 2400.0, Wal-Mart, logistics
1020, Patrice Motsepe, 2400.0, mining
1020, Alfred Oetker, 2400.0, consumer goods
1020, August Oetker, 2400.0, consumer goods
1020, Carl Ferdinand Oetker, 2400.0, consumer goods
1020, Christian Oetker, 2400.0, consumer goods
1020, Julia Oetker, 2400.0, consumer goods
1020, Richard Oetker, 2400.0, consumer goods
1020, Daniel Pritzker, 2400.0, hotels, investments
1020, John Pritzker, 2400.0, hotels, investments
1020, Nevaldo Rocha, 2400.0, retail
1020, Luigi Rovati, 2400.0, pharmaceuticals
1020, Ferit Faik Sahenk, 2400.0, diversified
1020, Rosely Schweizer, 2400.0, consumer goods
1020, Eric Smidt, 2400.0, hardware stores
1020, Alexander Spanos, 2400.0, real estate, Los Angeles Chargers
1020, Leena Tewari, 2400.0, pharmaceuticals
1020, Tong Jinquan, 2400.0, real estate
1020, Peter Unger, 2400.0, auto repair
1020, Sunny Varkey, 2400.0, education
1020, Urs Wietlisbach, 2400.0, private equity
1020, Michael Ying, 2400.0, retail
1020, Yu Minhong, 2400.0, education
1070, Eva Maria Bucher-Haefner, 2300.0, Computer Associates
1070, Chen Hua, 2300.0, real estate
1070, Gustavo Denegri, 2300.0, biotech
1070, Dermot Desmond, 2300.0, finance
1070, Murali Divi, 2300.0, pharmaceuticals
1070, Thomas Flohr, 2300.0, VistaJet
1070, Bernard Fraisse, 2300.0, pharmaceuticals
1070, Harsh Goenka, 2300.0, diversified
1070, David Gottesman, 2300.0, investments
1070, Murli Dhar & Bimal Kumar Gyanchandani, 2300.0, Detergents
1070, Bill Haslam, 2300.0, truck stops
1070, Hu Baifan, 2300.0, pharmaceuticals
1070, W. Herbert Hunt, 2300.0, oil
1070, Alijan Ibragimov, 2300.0, mining, metals
1070, Bradley Jacobs, 2300.0, logistics
1070, Brad Kelley, 2300.0, tobacco
1070, Vinod Khosla, 2300.0, venture capital
1070, Stephen Lansdown, 2300.0, financial services
1070, Martin Lau, 2300.0, e-commerce
1070, Lee Joong-Keun, 2300.0, construction, real estate
1070, Lin Li, 2300.0, investments
1070, Kenneth Lo, 2300.0, textiles
1070, Alexander Machkevich, 2300.0, mining, metals
1070, Clayton Mathile, 2300.0, pet food
1070, Stanley Perron, 2300.0, real estate, retail
1070, J. Joe Ricketts, 2300.0, TD Ameritrade
1070, Dirk Rossmann, 2300.0, drugstores
1070, Filiz Sahenk, 2300.0, diversified
1070, Dan Snyder, 2300.0, Washington Redskins
1070, Peter Spuhler, 2300.0, train cars
1070, Tang Yiu, 2300.0, fashion retail
1070, John Tyson, 2300.0, food processing
1070, Wong Man Li, 2300.0, furniture
1103, Lia Maria Aguiar, 2200.0, banking
1103, Aziz Akhannouch, 2200.0, petroleum, diversified
1103, Ron Baron, 2200.0, money management
1103, Shyam & Hari Bhartia, 2200.0, Diversified
1103, Timothy Boyle, 2200.0, Columbia Sportswear
1103, Tatiana Casiraghi, 2200.0, beer
1103, Chan Tan Ching-fen, 2200.0, real estate
1103, Chase Coleman, III., 2200.0, hedge fund
1103, Mark Coombs, 2200.0, finance
1103, James Coulter, 2200.0, private equity
1103, Dulce Pugliese de Godoy Bueno, 2200.0, hospitals, health care
1103, Ana Lucia de Mattos Barretto Villela, 2200.0, banking
1103, Frank Fertitta, III., 2200.0, casinos, mixed martial arts
1103, Lorenzo Fertitta, 2200.0, casinos, mixed martial arts
1103, Maria Franca Fissolo, 2200.0, Nutella, chocolates
1103, Alexander Frolov, 2200.0, mining, steel
1103, Ernest Garcia, II., 2200.0, used cars
1103, Alexandre Grendene Bartelle, 2200.0, shoes
1103, Vinod & Anil Rai Gupta, 2200.0, electrical equipment
1103, Torstein Hagen, 2200.0, cruises
1103, He Qiaonv, 2200.0, landscape architecture
1103, Hans-Werner Hector, 2200.0, SAP
1103, Stanley Hubbard, 2200.0, DirecTV
1103, Ke Xiping, 2200.0, investments
1103, Suna Kirac, 2200.0, diversified
1103, Kong Jian Min, 2200.0, real estate
1103, Koo Bon-Moo, 2200.0, Diversified
1103, Heikki Kyostila, 2200.0, dental products
1103, Thomas Lee, 2200.0, private equity
1103, Eric Lefkofsky, 2200.0, Groupon
1103, Peter Lim, 2200.0, investments
1103, Scott Lin, 2200.0, optical components
1103, Tomas Olivo Lopez, 2200.0, shopping centers
1103, Phillip T. (Terry) Ragon, 2200.0, health IT
1103, Stewart Rahr, 2200.0, drug distribution
1103, T. Denny Sanford, 2200.0, banking, credit cards
1103, Julio Mario Santo Domingo, III., 2200.0, beer
1103, Karl Scheufele, III., 2200.0, jewelry
1103, Shen Guojun, 2200.0, retail
1103, Alain Taravella, 2200.0, real estate
1103, Oleg Tinkov, 2200.0, banking
1103, T.Y. Tsai, 2200.0, finance
1103, Tung Chee Hwa, 2200.0, shipping
1103, Ted Turner, 2200.0, cable television
1103, Sunil Vaswani, 2200.0, diversified
1103, Jitendra Virwani, 2200.0, real estate
1103, Lang Walker, 2200.0, real estate
1103, Wu Zhigang, 2200.0, bakery chain
1103, Xiao Wenge, 2200.0, entertainment
1103, Xiong Xuqiang, 2200.0, real estate
1103, Takao Yasuda, 2200.0, retail
1103, William Young, 2200.0, plastics
1103, Eddie & Sol Zakay, 2200.0, Real Estate
1103, Zhang Xiugen, 2200.0, automobiles
1157, Leslie Alexander, 2100.0, sports team
1157, Patricia Angelini Rossi, 2100.0, forestry, mining
1157, Josef Boquoi, 2100.0, frozen foods
1157, Nikolai Buinov, 2100.0, oil, gas
1157, Richard Chandler, 2100.0, investments
1157, Cheng Xue, 2100.0, soy sauce
1157, Patokh Chodiev, 2100.0, mining, metals
1157, Choo Chong Ngen, 2100.0, hotels
1157, Todd Christopher, 2100.0, hair care products
1157, John de Mol, 2100.0, television
1157, Bob Gaglardi, 2100.0, hotels
1157, Gordon Getty, 2100.0, Getty Oil
1157, Philippe Ginestet, 2100.0, retail stores
1157, Sanjiv Goenka, 2100.0, diversified
1157, Alec Gores, 2100.0, private equity
1157, David Hains, 2100.0, Investment
1157, Bahaa Hariri, 2100.0, real estate, investments, logistics
1157, William Heinecke, 2100.0, hotels
1157, Huang Hongyun, 2100.0, real estate
1157, Huang Zhenda, 2100.0, construction
1157, Ravi Jaipuria, 2100.0, soft drinks
1157, Jiang Yehua, 2100.0, real estate
1157, Manuel Jove, 2100.0, real estate
1157, Willibert Krueger, 2100.0, food processing
1157, Kuok Khoon Hong, 2100.0, palm oil
1157, Christian Latouche, 2100.0, accounting services
1157, Guenther Lehmann, 2100.0, drugstores
1157, Li Hongxin, 2100.0, paper & related products
1157, Li Xiting, 2100.0, medical devices
1157, Liang Yunchao, 2100.0, nutrition supplements
1157, Brandt Louie, 2100.0, drugstores
1157, Catherine Lozick, 2100.0, valve manufacturing
1157, Igor Makarov, 2100.0, investments
1157, Mao Lixiang, 2100.0, cooking appliances
1157, Harsh Mariwala, 2100.0, consumer goods
1157, Martin Moller Nielsen, 2100.0, aircraft leasing
1157, David Murdock, 2100.0, Dole, real estate
1157, N.R. Narayana Murthy, 2100.0, software services
1157, Georg Nemetschek, 2100.0, software
1157, Vikas Oberoi, 2100.0, real estate
1157, Maja Oeri, 2100.0, Roche Holding
1157, Ong Beng Seng and Christina Ong, 2100.0, diversified
1157, H. Ross Perot, Jr., 2100.0, real estate
1157, Tor Peterson, 2100.0, commodities
1157, Heloise Pratt, 2100.0, manufacturing, investment
1157, Alexey Repik, 2100.0, pharmaceuticals
1157, Shin Chang-Jae, 2100.0, insurance
1157, Kavitark Ram Shriram, 2100.0, venture capital, Google
1157, Sylvia Stroeher, 2100.0, cosmetics
1157, Katsumi Tada, 2100.0, real estate
1157, Tang Shing-bor, 2100.0, real estate
1157, Georg von Opel, 2100.0, real estate, investments
1157, David Walentas, 2100.0, real estate
